Date,Visitor,G,Home,G,,Att.,LOG,Notes
1995-03-18,Tampa Bay Lightning,2,New Jersey Devils,1,,,,
1995-03-18,Buffalo Sabres,3,Ottawa Senators,4,OT,,,
1995-03-18,New York Rangers,1,Washington Capitals,4,,,,
1995-03-19,Tampa Bay Lightning,6,Buffalo Sabres,1,,,,
1995-03-19,San Jose Sharks,5,Calgary Flames,3,,,,
1995-03-19,St. Louis Blues,4,Mighty Ducks of Anaheim,2,,,,
1995-03-19,Boston Bruins,3,New Jersey Devils,4,OT,,,
1995-03-19,Pittsburgh Penguins,4,Ottawa Senators,3,,,,
1995-03-19,Chicago Blackhawks,3,Winnipeg Jets,2,,,,
1995-03-20,Calgary Flames,2,Edmonton Oilers,5,,,,
1995-03-20,Washington Capitals,5,Hartford Whalers,0,,,,
1995-03-20,St. Louis Blues,3,Los Angeles Kings,5,,,,
1995-03-20,Montreal Canadiens,4,Philadelphia Flyers,8,,,,
1995-03-20,Florida Panthers,4,Quebec Nordiques,5,OT,,,
1995-03-21,Pittsburgh Penguins,3,Buffalo Sabres,2,,,,
1995-03-21,Los Angeles Kings,3,Mighty Ducks of Anaheim,3,OT,,,
1995-03-21,Chicago Blackhawks,7,San Jose Sharks,3,,,,
1995-03-21,Toronto Maple Leafs,1,Vancouver Canucks,3,,,,
1995-03-21,Ottawa Senators,0,Washington Capitals,1,,,,
1995-03-22,St. Louis Blues,3,Calgary Flames,4,,,,
1995-03-22,Edmonton Oilers,4,Dallas Stars,4,OT,,,
1995-03-22,Winnipeg Jets,3,Detroit Red Wings,6,,,,
1995-03-22,Philadelphia Flyers,3,Hartford Whalers,4,,,,
1995-03-22,Florida Panthers,3,Montreal Canadiens,2,,,,
1995-03-22,New Jersey Devils,5,New York Rangers,2,,,,
1995-03-22,Boston Bruins,2,Quebec Nordiques,6,,,,
1995-03-23,Edmonton Oilers,1,Dallas Stars,2,,,,
1995-03-23,New York Rangers,0,New York Islanders,1,,,,
1995-03-23,Mighty Ducks of Anaheim,6,San Jose Sharks,3,,,,
1995-03-23,Chicago Blackhawks,3,Vancouver Canucks,1,,,,
1995-03-24,Florida Panthers,0,Buffalo Sabres,3,,,,
1995-03-24,Detroit Red Wings,2,Calgary Flames,3,,,,
1995-03-24,New Jersey Devils,2,Pittsburgh Penguins,5,,,,
1995-03-24,Boston Bruins,4,Tampa Bay Lightning,3,OT,,,
1995-03-24,Winnipeg Jets,2,Toronto Maple Leafs,3,,,,
1995-03-25,New York Islanders,1,Hartford Whalers,5,,,,
1995-03-25,San Jose Sharks,3,Los Angeles Kings,1,,,,
1995-03-25,Ottawa Senators,1,Montreal Canadiens,3,,,,
1995-03-25,New York Rangers,1,Quebec Nordiques,2,,,,
1995-03-25,Detroit Red Wings,2,Vancouver Canucks,1,,,,
1995-03-25,Toronto Maple Leafs,3,Winnipeg Jets,3,OT,,,
1995-03-25,Philadelphia Flyers,2,Washington Capitals,2,OT,,,
1995-03-26,Vancouver Canucks,0,Calgary Flames,2,,,,
1995-03-26,Mighty Ducks of Anaheim,2,Chicago Blackhawks,5,,,,
1995-03-26,Pittsburgh Penguins,0,Florida Panthers,2,,,,
1995-03-26,New Jersey Devils,5,New York Islanders,5,OT,,,
1995-03-26,Quebec Nordiques,11,Ottawa Senators,4,,,,
1995-03-26,Buffalo Sabres,1,Philadelphia Flyers,3,,,,
1995-03-26,Los Angeles Kings,7,San Jose Sharks,3,,,,
1995-03-26,Edmonton Oilers,1,St. Louis Blues,5,,,,
1995-03-26,Hartford Whalers,4,Washington Capitals,3,OT,,,
1995-03-27,St. Louis Blues,3,Dallas Stars,2,,,,
1995-03-27,Montreal Canadiens,2,Tampa Bay Lightning,3,OT,,,
1995-03-27,Edmonton Oilers,3,Toronto Maple Leafs,4,,,,
1995-03-28,Philadelphia Flyers,1,Boston Bruins,5,,,,
1995-03-28,Quebec Nordiques,3,Buffalo Sabres,5,,,,
